,Bid,Ask
2018-06-29 00:00:00.082,1.15635,1.15636
2018-06-29 00:00:00.106,1.15634,1.15636
2018-06-29 00:00:00.114,1.15634,1.15635
2018-06-29 00:00:00.121,1.15634,1.15634
2018-06-29 00:00:00.151,1.15632,1.15634
2018-06-29 00:00:00.158,1.15632,1.1563299999999999
2018-06-29 00:00:00.170,1.15632,1.15634
2018-06-29 00:00:00.176,1.1563299999999999,1.15635
2018-06-29 00:00:00.241,1.1563299999999999,1.15634
2018-06-29 00:00:00.463,1.1563299999999999,1.15635
2018-06-29 00:00:00.533,1.1563299999999999,1.15634
2018-06-29 00:00:02.593,1.1563299999999999,1.1563299999999999
2018-06-29 00:00:02.595,1.15632,1.1563299999999999
2018-06-29 00:00:02.605,1.15632,1.15634
2018-06-29 00:00:02.609,1.1563299999999999,1.15634
2018-06-29 00:00:02.620,1.1563299999999999,1.15635
2018-06-29 00:00:02.656,1.15634,1.15636
2018-06-29 00:00:02.746,1.15635,1.15636
2018-06-29 00:00:02.751,1.15635,1.15635
2018-06-29 00:00:02.757,1.15635,1.15636
2018-06-29 00:00:02.809,1.15636,1.15636
2018-06-29 00:00:02.824,1.1563700000000001,1.1563700000000001
2018-06-29 00:00:02.826,1.15636,1.1563700000000001
2018-06-29 00:00:02.829,1.1563700000000001,1.1563700000000001
2018-06-29 00:00:02.838,1.15638,1.1563700000000001
2018-06-29 00:00:02.848,1.15639,1.1564
2018-06-29 00:00:02.890,1.15639,1.15641
2018-06-29 00:00:03.055,1.1564,1.15641
2018-06-29 00:00:03.068,1.15639,1.15641
2018-06-29 00:00:03.181,1.15639,1.15642
2018-06-29 00:00:03.187,1.15639,1.15641
2018-06-29 00:00:03.196,1.15641,1.15641
2018-06-29 00:00:03.202,1.15641,1.15642
2018-06-29 00:00:03.246,1.15641,1.1564299999999998
2018-06-29 00:00:03.341,1.1564,1.15642
2018-06-29 00:00:03.350,1.15641,1.15642
2018-06-29 00:00:03.354,1.1564,1.15642
2018-06-29 00:00:03.365,1.15641,1.15642
2018-06-29 00:00:03.430,1.15641,1.1564299999999998
2018-06-29 00:00:03.782,1.15641,1.15642
2018-06-29 00:00:06.408,1.15641,1.1564299999999998
2018-06-29 00:00:06.845,1.1564299999999998,1.1564299999999998
2018-06-29 00:00:06.852,1.15642,1.1564299999999998
2018-06-29 00:00:06.857,1.1564299999999998,1.1564299999999998
2018-06-29 00:00:06.871,1.15644,1.15645
2018-06-29 00:00:06.890,1.15644,1.15646
2018-06-29 00:00:06.892,1.15645,1.15646
2018-06-29 00:00:06.933,1.15645,1.15647
2018-06-29 00:00:07.040,1.15645,1.15648
2018-06-29 00:00:07.072,1.15646,1.15648
2018-06-29 00:00:07.073,1.15646,1.15649
2018-06-29 00:00:07.151,1.15647,1.15649
2018-06-29 00:00:07.241,1.15647,1.15648
2018-06-29 00:00:07.698,1.15648,1.15648
2018-06-29 00:00:07.706,1.15648,1.15649
2018-06-29 00:00:07.747,1.15649,1.1565
2018-06-29 00:00:08.435,1.15649,1.15649
2018-06-29 00:00:08.550,1.15649,1.1565
2018-06-29 00:00:08.888,1.15649,1.15649
2018-06-29 00:00:08.892,1.15649,1.1565
2018-06-29 00:00:08.901,1.15649,1.15649
2018-06-29 00:00:08.919,1.15649,1.15648
